run,bucket,pass@1,selection_accuracy,json_valid_rate
slm_text,Q1,1.0,1.0,1.0
slm_text,Q2,0.0,0.0,0.0
slm_text,Q3,1.0,1.0,1.0
slm_text,Q4,0.833,1.0,0.833
slm_text,Q5,0.0,0.0,0.0
llm_text,Q1,0.0,0.0,0.0
llm_text,Q2,0.0,0.0,0.0
llm_text,Q3,1.0,1.0,1.0
llm_text,Q4,0.5,0.5,0.5
llm_text,Q5,0.0,0.0,0.0
slm_ici,Q1,1.0,1.0,1.0
slm_ici,Q2,0.0,0.0,0.0
slm_ici,Q3,1.0,1.0,1.0
slm_ici,Q4,0.917,1.0,0.917
slm_ici,Q5,0.0,0.0,0.0
llm_ici,Q1,0.0,0.0,0.0
llm_ici,Q2,0.0,0.0,0.0
llm_ici,Q3,1.0,1.0,1.0
llm_ici,Q4,0.5,0.5,0.5
llm_ici,Q5,0.0,0.0,0.0
