run,bucket,pass@1,selection_accuracy,json_valid_rate
slm_text,Q1,0.833,1.0,0.833
slm_text,Q2,0.5,1.0,0.5
slm_text,Q3,1.0,1.0,1.0
slm_text,Q4,0.0,1.0,0.0
slm_text,Q5,0.0,0.0,0.0
llm_text,Q1,0.0,0.0,0.0
llm_text,Q2,0.0,0.0,0.0
llm_text,Q3,0.167,0.167,0.167
llm_text,Q4,0.0,0.0,0.0
llm_text,Q5,0.0,0.0,0.0
slm_ici,Q1,0.667,1.0,0.667
slm_ici,Q2,0.5,1.0,0.5
slm_ici,Q3,0.5,0.5,0.833
slm_ici,Q4,0.0,1.0,0.0
slm_ici,Q5,0.0,0.0,0.0
llm_ici,Q1,0.0,0.0,0.0
llm_ici,Q2,0.0,0.0,0.0
llm_ici,Q3,0.167,0.167,0.167
llm_ici,Q4,0.0,0.0,0.0
llm_ici,Q5,0.0,0.0,0.0
