run,bucket,category,proportion
slm_text,Q1,pass,0.833
slm_text,Q1,schema_error,0.167
slm_text,Q2,pass,0.5
slm_text,Q2,schema_error,0.5
slm_text,Q3,pass,1.0
slm_text,Q4,schema_error,1.0
llm_text,Q1,generation_error,1.0
llm_text,Q2,generation_error,1.0
llm_text,Q3,generation_error,0.833
llm_text,Q3,pass,0.167
llm_text,Q4,generation_error,1.0
slm_ici,Q1,schema_error,0.333
slm_ici,Q1,pass,0.667
slm_ici,Q2,pass,0.5
slm_ici,Q2,schema_error,0.5
slm_ici,Q3,selection_error,0.333
slm_ici,Q3,pass,0.5
slm_ici,Q3,schema_error,0.167
slm_ici,Q4,schema_error,1.0
llm_ici,Q1,generation_error,1.0
llm_ici,Q2,generation_error,1.0
llm_ici,Q3,generation_error,0.667
llm_ici,Q3,pass,0.167
llm_ici,Q3,format_error,0.167
llm_ici,Q4,generation_error,1.0
